,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
0,-4.0,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
1,-3.95,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
2,-3.9,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
3,-3.85,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
4,-3.8,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
5,-3.75,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
6,-3.7,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
7,-3.65,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
8,-3.6,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
9,-3.55,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
10,-3.5,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
11,-3.45,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
12,-3.4,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
13,-3.35,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
14,-3.3,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
15,-3.25,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
16,-3.2,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
17,-3.15,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
