,Mu(eV),Temp(K),ElCond_xx,ElCond_xy,ElCond_yy,ElCond_xz,ElCond_yz,ElCond_zz,Material,Parameter_el,Label,Plottag_el,Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Parameter_sb,Plottag_sb,Kappa_xx,Kappa_xy,Kappa_yy,Kappa_xz,Kappa_yz,Kappa_zz,Parameter,Plottag,ZT
0,-2.9612,300.0,1818794.555,-10.00359394,1818753.844,-4.148409426,3.994103335,1819353.429,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,-3.088210419e-06,6.844109553e-11,-7.265131171e-10,6.846189619e-11,-3.091186812e-06,-5.713770425e-10,-7.263423629e-10,-5.711247062e-10,-3.063909639e-06,seebeck,CsPbBr$_{3}$,13.41122976,2.418147311e-05,13.41207791,-3.965687125e-05,-0.000151513322,13.41227369,kappa,CsPbBr$_{3}$,0.0003880163847695627
1,-2.9112,300.0,1858409.942,-0.4716697552,1858458.531,-1.084441253,-6.462484062,1858562.527,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,-8.463006816e-08,-1.465666604e-09,1.852281461e-10,-1.465627874e-09,-8.730975512e-08,1.565440648e-09,1.851977021e-10,1.565284769e-09,-6.793115338e-08,seebeck,CsPbBr$_{3}$,13.29161338,4.269646978e-05,13.29148564,-4.364888513e-05,-8.511435599e-05,13.29428123,kappa,CsPbBr$_{3}$,3.004238835743284e-07
2,-2.8612,300.0,1847594.923,15.60156468,1847601.702,-5.728850143,-23.33744969,1847648.509,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,-1.146447858e-06,-2.937455792e-10,2.247169851e-10,-2.937279511e-10,-1.144937807e-06,-3.099081126e-10,2.246831277e-10,-3.09965802e-10,-1.139670787e-06,seebeck,CsPbBr$_{3}$,13.58984686,2.051151475e-05,13.59054512,-5.519064129e-06,3.941701942e-05,13.59090726,kappa,CsPbBr$_{3}$,5.360706948795177e-05
3,-2.8112,300.0,1859574.462,17.60450002,1859658.052,-2.05415204,-6.581881625,1859568.231,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,1.881224778e-06,-2.174302925e-10,-1.34167706e-10,-2.174529882e-10,1.877739434e-06,-9.05263433e-10,-1.34177423e-10,-9.053207738e-10,1.881159312e-06,seebeck,CsPbBr$_{3}$,13.31627055,6.946419002e-05,13.31630117,-6.992808006e-05,-6.441401572e-05,13.31708026,kappa,CsPbBr$_{3}$,0.00014826327816882723
4,-2.7612,300.0,1825147.736,15.43079821,1825220.823,-9.317375367,0.2511172768,1825188.249,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,1.347936761e-06,4.49669288e-10,4.19318886e-10,4.496353562e-10,1.345552618e-06,-8.39956564e-10,4.193166762e-10,-8.399657703e-10,1.345143208e-06,seebeck,CsPbBr$_{3}$,13.35668343,6.271598826e-05,13.3572874,1.504468881e-05,7.253052296e-05,13.35699942,kappa,CsPbBr$_{3}$,7.448343226758574e-05
5,-2.7112,300.0,1804132.091,5.310156834,1804213.891,-5.078043996,14.30992056,1804197.354,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,4.054262415e-06,6.235532322e-10,-1.05548118e-09,6.235552677e-10,4.059814956e-06,-1.987098002e-09,-1.055451462e-09,-1.987168182e-09,4.053433571e-06,seebeck,CsPbBr$_{3}$,12.90272423,9.066442928e-05,12.90299384,5.466871096e-05,0.0002323324355,12.90313018,kappa,CsPbBr$_{3}$,0.0006894962074351556
6,-2.6612,300.0,1741710.793,0.5169689563,1741748.417,9.559139687,52.97590859,1741790.534,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,5.349138883e-06,-1.063589283e-10,-1.387313383e-09,-1.063250033e-10,5.347505426e-06,-1.836994912e-09,-1.387258241e-09,-1.83696193e-09,5.347123758e-06,seebeck,CsPbBr$_{3}$,12.54414494,0.0001175671654,12.54466254,0.000133109515,0.0001070787173,12.5447354,kappa,CsPbBr$_{3}$,0.0011918565353731428
7,-2.6112,300.0,1667981.377,12.26971193,1668014.917,30.64774299,44.05457991,1668062.977,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,8.677238581e-06,-1.169346239e-09,-2.137211891e-09,-1.169273654e-09,8.676076678e-06,6.398984904e-11,-2.137136782e-09,6.393706769e-11,8.673929748e-06,seebeck,CsPbBr$_{3}$,11.75646653,7.138947294e-05,11.75721448,0.0002152073644,0.0004207208855,11.75768674,kappa,CsPbBr$_{3}$,0.0032047836588263595
8,-2.5612,300.0,1545463.788,23.38170367,1545577.248,59.0747739,64.46392967,1545640.46,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,1.43556318e-05,-5.569262741e-11,-1.318472505e-09,-5.578501194e-11,1.434986317e-05,-1.679717354e-09,-1.318746694e-09,-1.679864351e-09,1.434511874e-05,seebeck,CsPbBr$_{3}$,10.71507574,4.068516046e-06,10.7151833,7.268553025e-05,0.0001938883202,10.71631334,kappa,CsPbBr$_{3}$,0.008917219655373834
9,-2.5112,300.0,1371859.087,8.999238148,1371939.347,36.39806279,43.92860317,1372099.574,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,2.478729906e-05,8.313721273e-10,2.528522377e-09,8.313503825e-10,2.479285324e-05,2.691974001e-09,2.527640921e-09,2.690958208e-09,2.477111483e-05,seebeck,CsPbBr$_{3}$,9.004003165,0.0001218192732,9.004382802,0.0001879490406,0.0002462436729,9.00622334,kappa,CsPbBr$_{3}$,0.028083648793255842
10,-2.4612,300.0,1066264.458,4.869256494,1066284.396,8.094090796,14.27478607,1066704.362,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,4.509081557e-05,-3.635164451e-10,2.338042416e-09,-3.635123285e-10,4.509384127e-05,1.949119718e-09,2.336903589e-09,1.947993038e-09,4.506598818e-05,seebeck,CsPbBr$_{3}$,7.48870924,0.000125330476,7.489216511,0.0001405165561,0.0002079350497,7.489391359,kappa,CsPbBr$_{3}$,0.08684711580839381
11,-2.4112,300.0,718187.8108,8.992774457,718205.1459,-6.020496184,4.542034697,718438.7589,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,6.482131993e-05,-2.907029696e-09,3.22631572e-09,-2.907059607e-09,6.481602865e-05,1.602153015e-09,3.225055298e-09,1.601811219e-09,6.484183482e-05,seebeck,CsPbBr$_{3}$,5.903216943,0.0002010922788,5.90359666,-9.148255999e-06,5.872578105e-06,5.905050326,kappa,CsPbBr$_{3}$,0.15335794527422952
12,-2.3612,300.0,444684.2229,29.36913814,444730.5912,-19.57590742,-11.37927714,444775.9273,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,6.817940868e-05,-1.409402143e-08,7.361568768e-09,-1.409362711e-08,6.816700485e-05,1.009619664e-08,7.360057848e-09,1.009454205e-08,6.818620652e-05,seebeck,CsPbBr$_{3}$,4.413102023,0.0002871425729,4.41329916,-6.270805876e-05,-0.0001301042563,4.414799396,kappa,CsPbBr$_{3}$,0.14051913536079844
13,-2.3112,300.0,298828.4997,65.81339805,298886.4056,-29.8463402,-41.66920481,298924.9758,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,3.848868729e-05,-1.6157268e-08,-3.182414904e-09,-1.615558567e-08,3.848896003e-05,1.066365879e-08,-3.1804524e-09,1.066117924e-08,3.848027778e-05,seebeck,CsPbBr$_{3}$,3.396783587,0.0001618403152,3.396778754,0.0001013388006,-1.613218484e-05,3.397411866,kappa,CsPbBr$_{3}$,0.03909683388300695
14,-2.2612,300.0,282969.9481,55.26812874,282974.1708,9.827265318,-30.60950851,283030.1772,CsPbBr3,elcond,CsPbBr3,CsPbBr$_{3}$,-1.249618187e-05,1.291488567e-08,-1.453318417e-08,1.291730706e-08,-1.247249906e-05,-1.26591309e-08,-1.45302151e-08,-1.266031429e-08,-1.24687817e-05,seebeck,CsPbBr$_{3}$,2.853909929,0.000284341709,2.854120328,-8.838935029e-05,-8.761120017e-05,2.854383323,kappa,CsPbBr$_{3}$,0.004644895867131845
